,lable,text
0,1,"﻿Спасибо, что скачали книгу в бесплатной электронной библиотеке Royallib.ru: http://royallib.ru"
1,1,
2,1,Все книги автора: http://royallib.ru/author/pushkin_aleksandr.html
3,1,
4,1,Эта же книга в других форматах: http://royallib.ru/book/pushkin_aleksandr/kapitanskaya_dochka.html
5,1,
6,1,Приятного чтения!
7,1,
8,1,
9,1,
10,1,Береги честь смолоду.
11,1,
12,1,    Пословица
13,1,
14,1,
15,1,
16,1,Глава I
17,1,
18,1,"Сержант гвардии[1 - Гвардия – специальные отборные войска. Первые гвардейские полки (Семеновский, Преображенский) появились в России при Петре I. В отличие от остального состава армии пользовались преимуществами.]"
19,1,
20,1,– Был бы гвардии он завтра ж капитан.
21,1,
22,1,– Того не надобно; пусть в армии послужит.
23,1,
24,1,– Изрядно сказано! пускай его потужит…
25,1,
26,1,………………………………………………………
27,1,
28,1,Да кто его отец?
29,1,
30,1,"    Княжнин[2 - Княжнин Я. Б. (1742–1791) – русский писатель, драматург.]"
31,1,
32,1,"Отец мой, Андрей Петрович Гринев, в молодости своей служил при графе Минихе[3 - Миних Б. Х. (1683–1767) – военачальник и политический деятель, командовал русскими войсками в войне с Турцией в 1735–1739 годах.] и вышел в отставку премьер-майором[4 - Премьер-майор– старинный офицерский чин (приблизительно соответствует должности командира батальона).] в 17… году. С тех пор жил он в своей Симбирской деревне, где и женился на девице Авдотье Васильевне Ю., дочери бедного тамошнего дворянина. Нас было девять человек детей. Все мои братья и сестры умерли во младенчестве."
33,1,
34,1,"Матушка была еще мною брюхата, как уже я был записан в Семеновский полк сержантом,[5 - В XVIII веке дворянские дети с малых лет приписывались к какому-либо полку. Пока они росли, их повышали в чинах.] по милости майора гвардии князя Б., близкого нашего родственника. Если б паче всякого чаяния матушка родила дочь, то батюшка объявил бы куда следовало о смерти неявившегося сержанта, и дело тем бы и кончилось. Я считался в отпуску до окончания наук. В то время воспитывались мы не по-нонешнему. С пятилетнего возраста отдан я был на руки стремянному[6 - Стремянной – слуга, сопровождавший барина во время псовой охоты.] Савельичу, за трезвое поведение пожалованному мне в дядьки.[7 - Дядька – слуга, приставленный к мальчику в дворянской семье.] Под его надзором на двенадцатом году выучился я русской грамоте и мог очень здраво судить о свойствах борзого кобеля. В это время батюшка нанял для меня француза, мосье Бопре, которого выписали из Москвы вместе с годовым запасом вина и прованского масла. Приезд его сильно не понравился Савельичу. «Слава богу, – ворчал он про себя, – кажется, дитя умыт, причесан, накормлен. Куда как нужно тратить лишние деньги и нанимать мусье, как будто и своих людей не стало!»"
35,1,
